category,german,english,image_url,image_local
German Food & Drinks Flashcards,der Broccoli,the broccoli,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f966.svg,images/German Food & Drinks Flashcards/1f966.svg
German Food & Drinks Flashcards,das Brot,the bread,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35e.svg,images/German Food & Drinks Flashcards/1f35e.svg
German Food & Drinks Flashcards,der Bubble Tea,the bubble tea,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9cb.svg,images/German Food & Drinks Flashcards/1f9cb.svg
German Food & Drinks Flashcards,der Burrito,the burrito,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f32f.svg,images/German Food & Drinks Flashcards/1f32f.svg
German Food & Drinks Flashcards,die Butter,the butter,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c8.svg,images/German Food & Drinks Flashcards/1f9c8.svg
German Food & Drinks Flashcards,der Chili,the chili,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f336.svg,images/German Food & Drinks Flashcards/1f336.svg
German Food & Drinks Flashcards,das Croissant,the croissant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f950.svg,images/German Food & Drinks Flashcards/1f950.svg
German Food & Drinks Flashcards,der Cupcake,the cupcake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c1.svg,images/German Food & Drinks Flashcards/1f9c1.svg
German Food & Drinks Flashcards,Curry und Reis,Curry and rice,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35b.svg,images/German Food & Drinks Flashcards/1f35b.svg
German Food & Drinks Flashcards,Dango,Dango,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f361.svg,images/German Food & Drinks Flashcards/1f361.svg
German Food & Drinks Flashcards,der Donut,the donut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f369.svg,images/German Food & Drinks Flashcards/1f369.svg
German Food & Drinks Flashcards,das Ei,the egg,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95a.svg,images/German Food & Drinks Flashcards/1f95a.svg
German Food & Drinks Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f368.svg,images/German Food & Drinks Flashcards/1f368.svg
German Food & Drinks Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f366.svg,images/German Food & Drinks Flashcards/1f366.svg
German Food & Drinks Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9ca.svg,images/German Food & Drinks Flashcards/1f9ca.svg
German Food & Drinks Flashcards,die Erdbeere,the strawberry,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f353.svg,images/German Food & Drinks Flashcards/1f353.svg
German Food & Drinks Flashcards,die Erdnuss,the peanut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95c.svg,images/German Food & Drinks Flashcards/1f95c.svg
German Food & Drinks Flashcards,die Falafel,the falafel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c6.svg,images/German Food & Drinks Flashcards/1f9c6.svg
German Food & Drinks Flashcards,die Fischfrikade- lle,the fish cake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f365.svg,images/German Food & Drinks Flashcards/1f365.svg
German Food & Drinks Flashcards,das Fladenbrot,the flatbread,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad3.svg,images/German Food & Drinks Flashcards/1fad3.svg
German Food & Drinks Flashcards,das Fleisch,the meat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f356.svg,images/German Food & Drinks Flashcards/1f356.svg
German Food & Drinks Flashcards,das Fondue,the fondue,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad5.svg,images/German Food & Drinks Flashcards/1fad5.svg
German Food & Drinks Flashcards,die Garnele,the shrimp,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f364.svg,images/German Food & Drinks Flashcards/1f364.svg
German Food & Drinks Flashcards,der Geburtstagsk- uchen,the birthday cake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f382.svg,images/German Food & Drinks Flashcards/1f382.svg
German Food & Drinks Flashcards,der Glückskeks,the fortune cookie,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f960.svg,images/German Food & Drinks Flashcards/1f960.svg
German Food & Drinks Flashcards,die grüne Paprikaschote,the green pepper,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad1.svg,images/German Food & Drinks Flashcards/1fad1.svg
German Food & Drinks Flashcards,grüner Tee,green tea,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f375.svg,images/German Food & Drinks Flashcards/1f375.svg
German Food & Drinks Flashcards,die Gurke,the cucumber,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f952.svg,images/German Food & Drinks Flashcards/1f952.svg
German Food & Drinks Flashcards,der Hamburger,the hamburger,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f354.svg,images/German Food & Drinks Flashcards/1f354.svg
German Food & Drinks Flashcards,der Honig,the honey,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36f.svg,images/German Food & Drinks Flashcards/1f36f.svg
German Food & Drinks Flashcards,der Hotdog,the hot dog,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f32d.svg,images/German Food & Drinks Flashcards/1f32d.svg
German Food & Drinks Flashcards,das Huhn,the chicken,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f357.svg,images/German Food & Drinks Flashcards/1f357.svg
German Food & Drinks Flashcards,der Kaffee,the coffee,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/2615.svg,images/German Food & Drinks Flashcards/2615.svg
German Food & Drinks Flashcards,Kakigori,Kakigori,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f367.svg,images/German Food & Drinks Flashcards/1f367.svg
German Food & Drinks Flashcards,die Kartoffel,the potato,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f954.svg,images/German Food & Drinks Flashcards/1f954.svg
German Food & Drinks Flashcards,die Kastanie,the chestnut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f330.svg,images/German Food & Drinks Flashcards/1f330.svg
German Food & Drinks Flashcards,der Kebab,the kebab,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f959.svg,images/German Food & Drinks Flashcards/1f959.svg
German Food & Drinks Flashcards,der Keks,the cookie,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36a.svg,images/German Food & Drinks Flashcards/1f36a.svg
German Food & Drinks Flashcards,die Kirschen,the cherries,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f352.svg,images/German Food & Drinks Flashcards/1f352.svg
German Food & Drinks Flashcards,die Kiwi,the kiwi,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95d.svg,images/German Food & Drinks Flashcards/1f95d.svg
German Food & Drinks Flashcards,der Kloß,the dumpling,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95f.svg,images/German Food & Drinks Flashcards/1f95f.svg
German Food & Drinks Flashcards,der Knoblauch,the garlic,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c4.svg,images/German Food & Drinks Flashcards/1f9c4.svg
German Food & Drinks Flashcards,die Kokosnuss,the coconut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f965.svg,images/German Food & Drinks Flashcards/1f965.svg
German Food & Drinks Flashcards,der Kuchen,the cake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f370.svg,images/German Food & Drinks Flashcards/1f370.svg
German Food & Drinks Flashcards,der Käse,the cheese,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c0.svg,images/German Food & Drinks Flashcards/1f9c0.svg
German Food & Drinks Flashcards,der Lutscher,the lollipop,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36d.svg,images/German Food & Drinks Flashcards/1f36d.svg
German Food & Drinks Flashcards,der Maiskolben,the corn cob,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f33d.svg,images/German Food & Drinks Flashcards/1f33d.svg
German Food & Drinks Flashcards,die Mango,the mango,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96d.svg,images/German Food & Drinks Flashcards/1f96d.svg
German Food & Drinks Flashcards,der Mate-Tee,the mate tea,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c9.svg,images/German Food & Drinks Flashcards/1f9c9.svg
German Food & Drinks Flashcards,die Milch,the milk,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95b.svg,images/German Food & Drinks Flashcards/1f95b.svg
German Food & Drinks Flashcards,der Mondkuchen,the mooncake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96e.svg,images/German Food & Drinks Flashcards/1f96e.svg
German Food & Drinks Flashcards,die Möhre,the carrot,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f955.svg,images/German Food & Drinks Flashcards/1f955.svg
German Food & Drinks Flashcards,die Nudeln,the noodles,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35c.svg,images/German Food & Drinks Flashcards/1f35c.svg
German Food & Drinks Flashcards,Oden,Odes,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f362.svg,images/German Food & Drinks Flashcards/1f362.svg
German Food & Drinks Flashcards,die Oliven,the olives,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad2.svg,images/German Food & Drinks Flashcards/1fad2.svg
German Food & Drinks Flashcards,die Orange,the orange,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34a.svg,images/German Food & Drinks Flashcards/1f34a.svg
German Food & Drinks Flashcards,die Pfannkuchen,the pancakes,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95e.svg,images/German Food & Drinks Flashcards/1f95e.svg
German Food & Drinks Flashcards,der Pfirsich,the peach,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f351.svg,images/German Food & Drinks Flashcards/1f351.svg
German Food & Drinks Flashcards,der Pilz,the mushroom,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f344.svg,images/German Food & Drinks Flashcards/1f344.svg
German Food & Drinks Flashcards,die Pizza,the pizza,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f355.svg,images/German Food & Drinks Flashcards/1f355.svg
German Food & Drinks Flashcards,die Pommes,the fries,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35f.svg,images/German Food & Drinks Flashcards/1f35f.svg
German Food & Drinks Flashcards,das Popcorn,the popcorn,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f37f.svg,images/German Food & Drinks Flashcards/1f37f.svg
German Food & Drinks Flashcards,der Reis,the rice,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35a.svg,images/German Food & Drinks Flashcards/1f35a.svg
German Food & Drinks Flashcards,das Reisbällchen,the rice ball,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f359.svg,images/German Food & Drinks Flashcards/1f359.svg
German Food & Drinks Flashcards,der Reiscracker,the rice cracker,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f358.svg,images/German Food & Drinks Flashcards/1f358.svg
German Food & Drinks Flashcards,der Saft,the juice,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c3.svg,images/German Food & Drinks Flashcards/1f9c3.svg
German Food & Drinks Flashcards,der Salat,the salad,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f957.svg,images/German Food & Drinks Flashcards/1f957.svg
German Food & Drinks Flashcards,der Salat,the salad,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96c.svg,images/German Food & Drinks Flashcards/1f96c.svg
German Food & Drinks Flashcards,das Salz,the salt,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c2.svg,images/German Food & Drinks Flashcards/1f9c2.svg
German Food & Drinks Flashcards,das Sandwich,the sandwich,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96a.svg,images/German Food & Drinks Flashcards/1f96a.svg
German Food & Drinks Flashcards,die Schokolade,the chocolate,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36b.svg,images/German Food & Drinks Flashcards/1f36b.svg
German Food & Drinks Flashcards,Spaghetti,spaghetti,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35d.svg,images/German Food & Drinks Flashcards/1f35d.svg
German Food & Drinks Flashcards,der Speck,the bacon,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f953.svg,images/German Food & Drinks Flashcards/1f953.svg
German Food & Drinks Flashcards,das Spiegelei,the fried egg,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f373.svg,images/German Food & Drinks Flashcards/1f373.svg
German Food & Drinks Flashcards,das Steak,the steak,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f969.svg,images/German Food & Drinks Flashcards/1f969.svg
German Food & Drinks Flashcards,das Sushi,the sushi,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f363.svg,images/German Food & Drinks Flashcards/1f363.svg
German Food & Drinks Flashcards,die Süßkartoffel,the sweet potato,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f360.svg,images/German Food & Drinks Flashcards/1f360.svg
German Food & Drinks Flashcards,der Taco,the taco,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f32e.svg,images/German Food & Drinks Flashcards/1f32e.svg
German Food & Drinks Flashcards,die Tamale,the tamales,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad4.svg,images/German Food & Drinks Flashcards/1fad4.svg
German Food & Drinks Flashcards,die Tomate,the tomato,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f345.svg,images/German Food & Drinks Flashcards/1f345.svg
German Food & Drinks Flashcards,die Trauben,the grapes,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f347.svg,images/German Food & Drinks Flashcards/1f347.svg
German Food & Drinks Flashcards,die Waffel,the waffle,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c7.svg,images/German Food & Drinks Flashcards/1f9c7.svg
German Food & Drinks Flashcards,das Wasser,the water,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f964.svg,images/German Food & Drinks Flashcards/1f964.svg
German Food & Drinks Flashcards,die Wassermelone,the watermelon,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f349.svg,images/German Food & Drinks Flashcards/1f349.svg
German Food & Drinks Flashcards,die Zitrone,the lemon,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34b.svg,images/German Food & Drinks Flashcards/1f34b.svg
German Food & Drinks Flashcards,die Zwiebel,the onion,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c5.svg,images/German Food & Drinks Flashcards/1f9c5.svg
German Parts of the Body Flashcards,der Arm,the arm,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f4aa-1f3fd.svg,images/German Parts of the Body Flashcards/1f4aa-1f3fd.svg
German Parts of the Body Flashcards,das Auge,the eye,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f441.svg,images/German Parts of the Body Flashcards/1f441.svg
German Parts of the Body Flashcards,die Augen,the eyes,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f440.svg,images/German Parts of the Body Flashcards/1f440.svg
German Parts of the Body Flashcards,das Bein,the leg,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9b5-1f3fd.svg,images/German Parts of the Body Flashcards/1f9b5-1f3fd.svg
German Parts of the Body Flashcards,der Fuß,the foot,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9b6-1f3fe.svg,images/German Parts of the Body Flashcards/1f9b6-1f3fe.svg
German Parts of the Body Flashcards,die Hand,the hand,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f590-1f3ff.svg,images/German Parts of the Body Flashcards/1f590-1f3ff.svg
German Parts of the Body Flashcards,das Herz,the heart,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fac0.svg,images/German Parts of the Body Flashcards/1fac0.svg
German Parts of the Body Flashcards,der Knochen,the bone,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9b4.svg,images/German Parts of the Body Flashcards/1f9b4.svg
German Parts of the Body Flashcards,der Kopf,the head,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f469-1f3fd-200d-1f9b2.svg,images/German Parts of the Body Flashcards/1f469-1f3fd-200d-1f9b2.svg
German Parts of the Body Flashcards,die Lungen,the lungs,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fac1.svg,images/German Parts of the Body Flashcards/1fac1.svg
German Parts of the Body Flashcards,der Mund,the mouth,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f444.svg,images/German Parts of the Body Flashcards/1f444.svg
German Parts of the Body Flashcards,die Nase,the nose,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f443-1f3fd.svg,images/German Parts of the Body Flashcards/1f443-1f3fd.svg
German Parts of the Body Flashcards,das Ohr,the ear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f442-1f3fd.svg,images/German Parts of the Body Flashcards/1f442-1f3fd.svg
German Parts of the Body Flashcards,der Zahn,the tooth,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9b7.svg,images/German Parts of the Body Flashcards/1f9b7.svg
German Parts of the Body Flashcards,die Zunge,the tongue,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f445.svg,images/German Parts of the Body Flashcards/1f445.svg
German Fruit Flashcards,die Ananas,the pineapple,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34d.svg,images/German Fruit Flashcards/1f34d.svg
German Fruit Flashcards,der Apfel,the Apple,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34e.svg,images/German Fruit Flashcards/1f34e.svg
German Fruit Flashcards,die Aubergine,the eggplant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f346.svg,images/German Fruit Flashcards/1f346.svg
German Fruit Flashcards,die Avocado,the avocado,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f951.svg,images/German Fruit Flashcards/1f951.svg
German Fruit Flashcards,der Bagel,the bagel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96f.svg,images/German Fruit Flashcards/1f96f.svg
German Fruit Flashcards,das Baguette,the baguette,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f956.svg,images/German Fruit Flashcards/1f956.svg
German Fruit Flashcards,die Banane,the banana,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34c.svg,images/German Fruit Flashcards/1f34c.svg
German Fruit Flashcards,die Birne,the pear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f350.svg,images/German Fruit Flashcards/1f350.svg
German Fruit Flashcards,die Blaubeeren,the blueberries,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad0.svg,images/German Fruit Flashcards/1fad0.svg
German Fruit Flashcards,die Bohnen,the beans,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad8.svg,images/German Fruit Flashcards/1fad8.svg
German Fruit Flashcards,das Bonbon,the candy,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36c.svg,images/German Fruit Flashcards/1f36c.svg
German Fruit Flashcards,die Brezel,the pretzel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f968.svg,images/German Fruit Flashcards/1f968.svg
German Fruit Flashcards,der Broccoli,the broccoli,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f966.svg,images/German Fruit Flashcards/1f966.svg
German Fruit Flashcards,das Brot,the bread,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35e.svg,images/German Fruit Flashcards/1f35e.svg
German Fruit Flashcards,der Bubble Tea,the bubble tea,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9cb.svg,images/German Fruit Flashcards/1f9cb.svg
German Fruit Flashcards,der Burrito,the burrito,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f32f.svg,images/German Fruit Flashcards/1f32f.svg
German Fruit Flashcards,die Butter,the butter,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c8.svg,images/German Fruit Flashcards/1f9c8.svg
German Fruit Flashcards,der Chili,the chili,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f336.svg,images/German Fruit Flashcards/1f336.svg
German Fruit Flashcards,das Croissant,the croissant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f950.svg,images/German Fruit Flashcards/1f950.svg
German Fruit Flashcards,der Cupcake,the cupcake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c1.svg,images/German Fruit Flashcards/1f9c1.svg
German Fruit Flashcards,Curry und Reis,Curry and rice,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f35b.svg,images/German Fruit Flashcards/1f35b.svg
German Fruit Flashcards,Dango,Dango,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f361.svg,images/German Fruit Flashcards/1f361.svg
German Fruit Flashcards,der Donut,the donut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f369.svg,images/German Fruit Flashcards/1f369.svg
German Fruit Flashcards,das Ei,the egg,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95a.svg,images/German Fruit Flashcards/1f95a.svg
German Fruit Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f368.svg,images/German Fruit Flashcards/1f368.svg
German Fruit Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f366.svg,images/German Fruit Flashcards/1f366.svg
German Fruit Flashcards,das Eis,the ice cream,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9ca.svg,images/German Fruit Flashcards/1f9ca.svg
German Fruit Flashcards,die Erdbeere,the strawberry,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f353.svg,images/German Fruit Flashcards/1f353.svg
German Fruit Flashcards,die Erdnuss,the peanut,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f95c.svg,images/German Fruit Flashcards/1f95c.svg
German Fruit Flashcards,die Falafel,the falafel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9c6.svg,images/German Fruit Flashcards/1f9c6.svg
German Fruit Flashcards,die Fischfrikade- lle,the fish cake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f365.svg,images/German Fruit Flashcards/1f365.svg
German Fruit Flashcards,das Fladenbrot,the flatbread,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad3.svg,images/German Fruit Flashcards/1fad3.svg
German Fruit Flashcards,das Fleisch,the meat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f356.svg,images/German Fruit Flashcards/1f356.svg
German Fruit Flashcards,das Fondue,the fondue,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad5.svg,images/German Fruit Flashcards/1fad5.svg
German Fruit Flashcards,die Garnele,the shrimp,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f364.svg,images/German Fruit Flashcards/1f364.svg
German Fruit Flashcards,der Geburtstagsk- uchen,the birthday cake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f382.svg,images/German Fruit Flashcards/1f382.svg
German Fruit Flashcards,der Glückskeks,the fortune cookie,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f960.svg,images/German Fruit Flashcards/1f960.svg
German Fruit Flashcards,die grüne Paprikaschote,the green pepper,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad1.svg,images/German Fruit Flashcards/1fad1.svg
German Fruit Flashcards,grüner Tee,green tea,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f375.svg,images/German Fruit Flashcards/1f375.svg
German Fruit Flashcards,die Gurke,the cucumber,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f952.svg,images/German Fruit Flashcards/1f952.svg
German Fruit Flashcards,der Hamburger,the hamburger,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f354.svg,images/German Fruit Flashcards/1f354.svg
German Fruit Flashcards,der Honig,the honey,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36f.svg,images/German Fruit Flashcards/1f36f.svg
German Fruit Flashcards,der Hotdog,the hot dog,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f32d.svg,images/German Fruit Flashcards/1f32d.svg
German Fruit Flashcards,das Huhn,the chicken,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f357.svg,images/German Fruit Flashcards/1f357.svg
